event_nr,position,runner,agegroup,gender,club,time,age_grade,no_runs,no_volunteered
11,9,0f8c7fcf36176f617f21849d9469a34a3fca28c52e524815fe8b2cc079f187cc,SF25-29,Weiblich,,25:54,57.14,3,1
11,10,acb9338f65f0ce853e722e69323c65fd4dcc4f248217117d4180db6daa513287,VM50-54,Männlich,Lancaster &amp; Morecambe AC,26:22,55.94,209,22
11,11,fe6b217580afdfb420a63b143fd3be1fd0658ea8945c5ed3cddfc98cd544562d,SM25-29,Männlich,,26:31,48.65,21,9
11,12,83e2d648dc3fccbf3594512e4a710929a4da22ba35884477b9a2a178e9ffffa8,SF20-24,Weiblich,,26:45,55.33,3,0
11,13,efed74b8af3a3345bc1da1838437c6a01052e1c13c99817fd9d92e9847e1d79b,SM25-29,Männlich,,26:46,48.19,10,2
11,14,699f4a785166384fb5e7a63c05005651d41f52c4eabbdcca65567fde05870fc3,SF20-24,Weiblich,,27:28,53.88,1,0
11,15,a55551e3fad1833b2fdad4305929db6c4316b0d593a065f7c47bedb77fe0c222,VM75-79,Männlich,,27:35,71.30,65,11
11,16,a7156f52a6227d63e4462dc6c3c66aed9c2da82270053bcf6095b3c48ad67745,SF20-24,Weiblich,,29:26,50.28,1,0
11,17,f5b7279011f4ff40fa36b363ce92d0f04dea714ccf15c31fb337e8a4dd5d6d7f,SF20-24,Weiblich,,30:36,48.37,3,0
11,18,7c40793930fbda2d46cfb19cb93dbb22c65341af0b5cc76995b89ce3a26591df,VF40-44,Weiblich,,31:39,49.34,120,0
11,19,60fbcb9caed15d99751dea19311a851d6ce232e2bee37e74b2724d0da906f0c0,SF30-34,Weiblich,,34:44,42.90,56,37
11,20,13f0769360414099a7763e3284d2f502f502c1da62227e52b579428492e135a7,SF30-34,Weiblich,,34:45,42.78,10,0
11,21,b32636d5a727ab4bcdf23d6a38f1b65a13c1b6a2dd7ad7551cf47800f00aa6de,VF60-64,Weiblich,,44:04,44.67,1,1
12,1,16348732b768b9eb8daea7298bd73b0ad3c1eaa92f357706fb8987cb2b8fb129,SM25-29,Männlich,,16:51,76.56,1,0
12,2,50ff24e6fe978c240e7fbca521f00c660bfb748161c319fd07a2d730f00be9c4,SM25-29,Männlich,,17:42,72.88,2,0
12,3,ec973bd99c41628af732584be57af9b3cb749f0e5d70f246966a7d69715249a3,SM25-29,Männlich,,19:43,65.43,56,61
12,4,034227f276bda97a958cae3bb84291b6d39eea3f8b1f619833ff992ca0658a00,SM25-29,Männlich,,19:54,64.82,1,0
