date,first_female,first_female_time,first_male,first_male_time,number_of_finishers,number_of_volunteers,event_number
2023-07-01,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,22:21,7ce80106ea8d801413e8ad19492b14a738b38a2e6ff195fe3e59df6624d3318a,17:49,125,14,100
2023-06-24,5327fa49ea9eee9cd094587a5af538e65c571f06335fd1af54bed7e6ba7db55a,21:24,cc77e509af88a4ff579cc30ecb88cae7e0717664bead0ba8f05ef8967d7763c0,18:46,30,9,99
2023-06-17,67612f362b62a722c9a306d8a48b8245c4a6495189cdf864864ad1593d2294ff,26:18,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,18:56,33,6,98
2023-06-10,67612f362b62a722c9a306d8a48b8245c4a6495189cdf864864ad1593d2294ff,24:27,8d52d94b4fe29553bc4e3e7af4c58dc3fe44803bc8e57dfe47a52c35b010bfd1,19:49,31,7,97
2023-06-03,88f05ea0cedb6820d3a68e91d5e62c7c6d2c124fa71522a343d71b6733214be7,27:33,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,19:14,21,7,96
2023-05-27,0dbc2ac989e72b95a86e17fd82ff00f6aca5440ec515e646bee9e9737925e4af,25:37,16aefa99800d8782d0cda2473db15afb60bf15555248f9390e13304d4826bba8,20:21,29,7,95
2023-05-20,036495d734cc5f5d942fba6c32dbd311e049be544638cc4f0008439d47852222,24:36,25262c085855c7f58e785287ad1e16a133fdb25dab9aabb76d6f4a496ea9add3,19:02,33,7,94
2023-05-13,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:10,37e7c58c083714f0e19957e938196e6b780e6540d3964f1b7aab9f4578ac9911,19:44,24,7,93
2023-05-06,8106a266b5db6fa6697201ace06f67cd9af2a7ee0c67548616deb2e125e4fed0,26:08,37e7c58c083714f0e19957e938196e6b780e6540d3964f1b7aab9f4578ac9911,19:07,17,9,92
2023-04-29,5132411d1f21a0f6eb41ec626126c024d6351ddd3e2387e2c529f014947e5b2a,25:02,bf0459daf0a1f6974e09075b3c642ac5fefefb99e024168ebfc276a43e7defa5,21:16,21,8,91
2023-04-22,9cfa31db1052adaf8cc7fe06127b4c6caf9d7a1fddf30c94ea90a0655765ca46,26:22,8d52d94b4fe29553bc4e3e7af4c58dc3fe44803bc8e57dfe47a52c35b010bfd1,21:36,27,11,90
2023-04-15,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,22:50,4828676b8f38501c1aebc50eac37336f15a37d1ce5267e9e9a5875491767894b,18:02,27,7,89
2023-04-08,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,21:35,bf0459daf0a1f6974e09075b3c642ac5fefefb99e024168ebfc276a43e7defa5,22:17,16,8,88
2023-04-01,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,22:49,4dfc213c7326f0ee281940e40aacce7f3dc5675939fb9e38df00c72d4f7d599d,21:32,23,11,87
2023-03-25,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,24:07,c6898570e707e5a24b790101dda694b04644141d1c283a5549918efd6e22ec92,20:37,22,9,86
2023-03-18,3bf1f0fe7eb8dc114b0ba324e16aff51bdb9d45669bcb21bd1856285ebe4efd2,24:16,75d6a5838e03a6dc3721ba19fa2429b68a007066b9808b5bd19e4d03d3abd4ae,19:32,21,8,85
2023-03-11,6de11785d04a5f8101a8410d8ca82714cd9b80a43a6e034e8f8b7aedcf180ce2,27:12,133888a52f23d369587d5ade338ac5fbf1d78f04a058f0acfb8954ac56d7fb19,19:41,15,6,84
2023-03-04,34f97ab673261d23160ff7a189ccf5527cff1364e130355c26e6517ed205cb72,23:37,c6898570e707e5a24b790101dda694b04644141d1c283a5549918efd6e22ec92,21:07,13,7,83
2023-02-25,62f8efc2c8bae271323ffc2325b3f67c53d8806dc36f3499d59eda7580affef6,26:30,30dccf389db383727ff6c98af2d02c88e19f46e8cbbfd6c817161609f6f07d24,25:04,17,6,82
2023-02-18,88066c7b370c67d074bb0707b8a95b3a8a2e5d62805f6c9d66e4ada74ae18533,25:39,c6898570e707e5a24b790101dda694b04644141d1c283a5549918efd6e22ec92,20:29,30,8,81
2023-02-11,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:57,a07038ca6fccab08454aff9d6053a28fd6ad33904193d77d7b4d764f1768c40e,17:14,16,8,80
2023-02-04,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,22:27,b26338354e37292c76cab254f0af51df96bb9c7d99c0ca6dfbbf03db8570fdd5,18:24,12,9,79
2023-01-28,9cfa31db1052adaf8cc7fe06127b4c6caf9d7a1fddf30c94ea90a0655765ca46,25:28,d9a3f9ed5c55dc00cd64eaa977bb730e24c2207cddbba5b343d98355a406d406,19:29,20,7,78
2023-01-21,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,22:33,e296669950f12b69c802ebfc5e58b4ddde96640ac7c4f07639b744b70ef07578,21:42,19,6,77
2023-01-14,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:01,d053ff944afc3cefc4d1f0713995775f2557b480899fef0e6e9520177593100c,21:33,18,8,76
2023-01-07,c7465fa3d969c7ab8d27d02bb8e73aeb96397d27fffe45af06642a06d2a700e0,20:52,b26338354e37292c76cab254f0af51df96bb9c7d99c0ca6dfbbf03db8570fdd5,18:48,30,8,75
2023-01-01,dac1947618275d2a5e1b6835fdd7c7fec1d83546072e6751626d4bef005821ce,23:33,a379242f7559f57761ff12012683dd1c51a93238f5f7c27988d6e9266149723b,20:51,20,7,74
2022-12-31,03eb23104c62ff084603b8402f881e2f61e5ff1b55adcc286281c0dec9c1dcd4,28:55,3e135d9a04f9102ba6c23e9ed674d87c029128323c71b7f173cb59420568d511,22:32,13,6,73
2022-12-24,2b4c34c02f208ca6f40a7977cff885ea83027caa311c466e5393ac466f12b041,19:32,75d6a5838e03a6dc3721ba19fa2429b68a007066b9808b5bd19e4d03d3abd4ae,19:20,17,6,72
2022-12-17,d8211851d85a79e8c71230d55251e22314433cee3593ff4eef0cad47d11a85d9,35:15,e296669950f12b69c802ebfc5e58b4ddde96640ac7c4f07639b744b70ef07578,21:36,15,8,71
2022-12-10,c1db59acdd0bb9aea46c1b05c46493e4b78bc620da22debc560772503b4e0eef,26:12,43c0b34e4965a51e5525c4619f993c7357e50789a166b8fefb12021b725b6525,22:42,10,7,70
